Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms)
mobilenet,4,1,mobilenet_config_13,1:CPU,4,Yes,47.2,104.6
mobilenet,4,2,mobilenet_config_13,1:CPU,4,Yes,46.6,254.0
mobilenet,2,4,mobilenet_config_13,1:CPU,4,Yes,46.4,284.2
mobilenet,4,4,mobilenet_config_13,1:CPU,4,Yes,45.0,481.8
mobilenet,2,2,mobilenet_config_13,1:CPU,4,Yes,43.7,200.1
mobilenet,1,4,mobilenet_config_13,1:CPU,4,Yes,40.6,124.3
mobilenet,2,1,mobilenet_config_13,1:CPU,4,Yes,40.2,124.4
mobilenet,1,2,mobilenet_config_13,1:CPU,4,Yes,39.3,67.5
mobilenet,1,1,mobilenet_config_13,1:CPU,4,Yes,36.2,40.0
mobilenet,4,2,mobilenet_config_14,1:CPU,8,Yes,46.1,271.4
mobilenet,4,4,mobilenet_config_14,1:CPU,8,Yes,45.0,564.9
mobilenet,2,4,mobilenet_config_14,1:CPU,8,Yes,44.8,315.2
mobilenet,4,1,mobilenet_config_14,1:CPU,8,Yes,43.2,155.5
mobilenet,2,2,mobilenet_config_14,1:CPU,8,Yes,42.2,159.0
mobilenet,2,1,mobilenet_config_14,1:CPU,8,Yes,38.6,110.7
mobilenet,1,4,mobilenet_config_14,1:CPU,8,Yes,34.4,235.4
mobilenet,1,2,mobilenet_config_14,1:CPU,8,Yes,34.2,126.6
mobilenet,1,1,mobilenet_config_14,1:CPU,8,Yes,31.9,58.7
mobilenet,2,4,mobilenet_config_8,1:CPU,8,Yes,46.0,303.5
mobilenet,4,4,mobilenet_config_8,1:CPU,8,Yes,45.8,468.1
mobilenet,4,2,mobilenet_config_8,1:CPU,8,Yes,45.0,275.3
mobilenet,4,1,mobilenet_config_8,1:CPU,8,Yes,45.0,174.1
mobilenet,2,1,mobilenet_config_8,1:CPU,8,Yes,44.0,62.1
mobilenet,2,2,mobilenet_config_8,1:CPU,8,Yes,43.5,154.4
mobilenet,1,4,mobilenet_config_8,1:CPU,8,Yes,38.1,193.5
mobilenet,1,2,mobilenet_config_8,1:CPU,8,Yes,37.4,85.1
mobilenet,1,1,mobilenet_config_8,1:CPU,8,Yes,33.6,91.5
mobilenet,4,2,mobilenet_config_7,1:CPU,4,Yes,45.1,288.0
mobilenet,2,4,mobilenet_config_7,1:CPU,4,Yes,44.2,304.5
mobilenet,4,4,mobilenet_config_7,1:CPU,4,Yes,44.0,633.6
mobilenet,4,1,mobilenet_config_7,1:CPU,4,Yes,43.7,165.1
mobilenet,2,2,mobilenet_config_7,1:CPU,4,Yes,43.1,194.2
mobilenet,2,1,mobilenet_config_7,1:CPU,4,Yes,42.8,80.3
mobilenet,1,2,mobilenet_config_7,1:CPU,4,Yes,38.3,101.4
mobilenet,1,1,mobilenet_config_7,1:CPU,4,Yes,37.1,33.5
mobilenet,1,4,mobilenet_config_7,1:CPU,4,Yes,37.1,224.2
mobilenet,4,1,mobilenet_config_4,2:CPU,4,Yes,44.2,169.7
mobilenet,2,1,mobilenet_config_4,2:CPU,4,Yes,32.5,133.7
mobilenet,1,1,mobilenet_config_4,2:CPU,4,Yes,21.9,127.3
mobilenet,4,2,mobilenet_config_4,2:CPU,4,Yes,3.2,2820.0
mobilenet,4,4,mobilenet_config_4,2:CPU,4,Yes,3.1,5325.2
mobilenet,2,2,mobilenet_config_4,2:CPU,4,Yes,1.6,3080.1
mobilenet,2,4,mobilenet_config_4,2:CPU,4,Yes,1.6,7382.3
mobilenet,1,4,mobilenet_config_4,2:CPU,4,Yes,0.9,7004.1
mobilenet,1,2,mobilenet_config_4,2:CPU,4,Yes,0.9,2966.8
mobilenet,4,2,mobilenet_config_2,1:CPU,8,Yes,41.8,314.7
mobilenet,4,4,mobilenet_config_2,1:CPU,8,Yes,40.2,564.0
mobilenet,4,1,mobilenet_config_2,1:CPU,8,Yes,33.4,250.0
mobilenet,2,2,mobilenet_config_2,1:CPU,8,Yes,32.8,236.2
mobilenet,2,1,mobilenet_config_2,1:CPU,8,Yes,32.7,133.8
mobilenet,1,4,mobilenet_config_2,1:CPU,8,Yes,30.6,200.4
mobilenet,1,2,mobilenet_config_2,1:CPU,8,Yes,30.3,122.0
mobilenet,2,4,mobilenet_config_2,1:CPU,8,Yes,30.0,414.8
mobilenet,1,1,mobilenet_config_2,1:CPU,8,Yes,29.3,81.3
mobilenet,4,1,mobilenet_config_5,2:CPU,8,Yes,41.6,189.0
mobilenet,2,1,mobilenet_config_5,2:CPU,8,Yes,32.7,119.6
mobilenet,1,1,mobilenet_config_5,2:CPU,8,Yes,22.7,73.2
mobilenet,4,2,mobilenet_config_5,2:CPU,8,Yes,3.4,2742.7
mobilenet,4,4,mobilenet_config_5,2:CPU,8,Yes,3.1,7307.6
mobilenet,2,4,mobilenet_config_5,2:CPU,8,Yes,1.6,7321.2
mobilenet,2,2,mobilenet_config_5,2:CPU,8,Yes,1.6,2775.1
mobilenet,1,4,mobilenet_config_5,2:CPU,8,Yes,0.9,6935.1
mobilenet,1,2,mobilenet_config_5,2:CPU,8,Yes,0.9,2487.0
mobilenet,4,1,mobilenet_config_17,2:CPU,8,Yes,40.7,169.1
mobilenet,2,2,mobilenet_config_17,2:CPU,8,Yes,39.9,186.2
mobilenet,2,1,mobilenet_config_17,2:CPU,8,Yes,33.2,156.5
mobilenet,1,2,mobilenet_config_17,2:CPU,8,Yes,31.6,130.0
mobilenet,1,1,mobilenet_config_17,2:CPU,8,Yes,26.5,70.5
mobilenet,4,2,mobilenet_config_17,2:CPU,8,Yes,3.3,2763.9
mobilenet,4,4,mobilenet_config_17,2:CPU,8,Yes,3.1,7696.8
mobilenet,2,4,mobilenet_config_17,2:CPU,8,Yes,1.6,7552.0
mobilenet,1,4,mobilenet_config_17,2:CPU,8,Yes,0.9,6967.5
mobilenet,4,1,mobilenet_config_default,1:CPU,8,Yes,40.0,176.8
mobilenet,4,4,mobilenet_config_default,1:CPU,8,Yes,39.9,617.6
mobilenet,4,2,mobilenet_config_default,1:CPU,8,Yes,37.1,357.2
mobilenet,1,1,mobilenet_config_default,1:CPU,8,Yes,32.0,76.7
mobilenet,2,1,mobilenet_config_default,1:CPU,8,Yes,31.9,179.3
mobilenet,2,4,mobilenet_config_default,1:CPU,8,Yes,29.6,852.1
mobilenet,1,2,mobilenet_config_default,1:CPU,8,Yes,27.8,166.5
mobilenet,2,2,mobilenet_config_default,1:CPU,8,Yes,26.3,291.7
mobilenet,1,4,mobilenet_config_default,1:CPU,8,Yes,25.7,352.4
mobilenet,4,1,mobilenet_config_10,2:CPU,4,Yes,39.5,191.9
mobilenet,2,1,mobilenet_config_10,2:CPU,4,Yes,34.9,105.7
mobilenet,1,1,mobilenet_config_10,2:CPU,4,Yes,21.8,136.7
mobilenet,4,2,mobilenet_config_10,2:CPU,4,Yes,3.4,2728.7
mobilenet,4,4,mobilenet_config_10,2:CPU,4,Yes,3.1,6521.5
mobilenet,2,2,mobilenet_config_10,2:CPU,4,Yes,1.7,2703.5
mobilenet,2,4,mobilenet_config_10,2:CPU,4,Yes,1.6,7542.8
mobilenet,1,4,mobilenet_config_10,2:CPU,4,Yes,0.9,6765.1
mobilenet,1,2,mobilenet_config_10,2:CPU,4,Yes,0.9,2519.2
mobilenet,4,1,mobilenet_config_16,2:CPU,4,Yes,39.3,192.8
mobilenet,2,2,mobilenet_config_16,2:CPU,4,Yes,35.9,213.2
mobilenet,2,1,mobilenet_config_16,2:CPU,4,Yes,33.4,128.1
mobilenet,1,4,mobilenet_config_16,2:CPU,4,Yes,31.9,226.3
mobilenet,1,2,mobilenet_config_16,2:CPU,4,Yes,28.3,92.9
mobilenet,1,1,mobilenet_config_16,2:CPU,4,Yes,24.1,90.8
mobilenet,4,2,mobilenet_config_16,2:CPU,4,Yes,3.2,2791.2
mobilenet,4,4,mobilenet_config_16,2:CPU,4,Yes,3.2,5408.0
mobilenet,2,4,mobilenet_config_16,2:CPU,4,Yes,1.6,7732.7
